STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,SEX,Sex,AGE,Age,ATTAINMENT_LEV,Educational attainment level,EDUCATION_FIELD,Field of education,MEASURE,Measure,INCOME,Income,BIRTH_PLACE,Place of birth,MIGRATION_AGE,Age at migration,EDU_STATUS,Education status,LABOUR_FORCE_STATUS,Labour force status,DURATION_UNEMP,Unemployment duration,UNIT_MEASURE,Unit of measure,STATISTICAL_OPERATION,Statistical operation,WORK_TIME_ARNGMNT,Work time arrangement,QUESTIONNAIRE,Questionnaire name,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,CONF_STATUS,Confidentiality status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS(1.0),"Distribution of young adults' education and work status, for a given level of educational attainment, age group and gender",I,NOR,Norway,_T,Total,Y18T24,From 18 to 24 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,_T,Total,_Z,Not applicable,NED,Not in education,EMP,Employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS,LSO-TRANS regular data collection,A,Annual,2023,,28.603104,,A,Normal value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS(1.0),"Distribution of young adults' education and work status, for a given level of educational attainment, age group and gender",I,CHL,Chile,_T,Total,Y18T24,From 18 to 24 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,_T,Total,_Z,Not applicable,NED,Not in education,EMP,Employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS,LSO-TRANS regular data collection,A,Annual,2022,,25.046476,,A,Normal value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS(1.0),"Distribution of young adults' education and work status, for a given level of educational attainment, age group and gender",I,FRA,France,_T,Total,Y18T24,From 18 to 24 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,_T,Total,_Z,Not applicable,ED_E_O,In education and in other forms of employment,EMP,Employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS,LSO-TRANS regular data collection,A,Annual,2023,,7.8952279,,A,Normal value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS(1.0),"Distribution of young adults' education and work status, for a given level of educational attainment, age group and gender",I,FRA,France,_T,Total,Y18T24,From 18 to 24 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,_T,Total,_Z,Not applicable,NED,Not in education,NE,Not in employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS,LSO-TRANS regular data collection,A,Annual,2023,,16.119036,,A,Normal value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS(1.0),"Distribution of young adults' education and work status, for a given level of educational attainment, age group and gender",I,ZAF,South Africa,_T,Total,Y18T24,From 18 to 24 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,_T,Total,_Z,Not applicable,NED,Not in education,EMP,Employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS,LSO-TRANS regular data collection,A,Annual,2022,,13.683117,,A,Normal value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS(1.0),"Distribution of young adults' education and work status, for a given level of educational attainment, age group and gender",I,COL,Colombia,_T,Total,Y18T24,From 18 to 24 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,_T,Total,_Z,Not applicable,NED,Not in education,EMP,Employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS,LSO-TRANS regular data collection,A,Annual,2023,,39.950691,,A,Normal value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS(1.0),"Distribution of young adults' education and work status, for a given level of educational attainment, age group and gender",I,CRI,Costa Rica,_T,Total,Y18T24,From 18 to 24 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,_T,Total,_Z,Not applicable,ED,In education,NE,Not in employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS,LSO-TRANS regular data collection,A,Annual,2023,,31.940351,,A,Normal value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS(1.0),"Distribution of young adults' education and work status, for a given level of educational attainment, age group and gender",I,ROU,Romania,_T,Total,Y18T24,From 18 to 24 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,_T,Total,_Z,Not applicable,ED_WS,In education and in work-study programmes,EMP,Employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS,LSO-TRANS regular data collection,A,Annual,2023,,,,K,Data included in another category,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS(1.0),"Distribution of young adults' education and work status, for a given level of educational attainment, age group and gender",I,DNK,Denmark,_T,Total,Y18T24,From 18 to 24 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,_T,Total,_Z,Not applicable,NED,Not in education,EMP,Employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS,LSO-TRANS regular data collection,A,Annual,2023,,33.487926,,A,Normal value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS(1.0),"Distribution of young adults' education and work status, for a given level of educational attainment, age group and gender",I,TUR,Türkiye,_T,Total,Y18T24,From 18 to 24 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,_T,Total,_Z,Not applicable,ED,In education,NE,Not in employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS,LSO-TRANS regular data collection,A,Annual,2023,,23.138477,,A,Normal value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS(1.0),"Distribution of young adults' education and work status, for a given level of educational attainment, age group and gender",I,GRC,Greece,_T,Total,Y18T24,From 18 to 24 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,_T,Total,_Z,Not applicable,ED,In education,NE,Not in employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS,LSO-TRANS regular data collection,A,Annual,2023,,53.268055,,A,Normal value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS(1.0),"Distribution of young adults' education and work status, for a given level of educational attainment, age group and gender",I,EST,Estonia,_T,Total,Y18T24,From 18 to 24 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,_T,Total,_Z,Not applicable,NED,Not in education,EMP,Employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS,LSO-TRANS regular data collection,A,Annual,2023,,29.306398,,A,Normal value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS(1.0),"Distribution of young adults' education and work status, for a given level of educational attainment, age group and gender",I,NLD,Netherlands,_T,Total,Y18T24,From 18 to 24 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,_T,Total,_Z,Not applicable,NED,Not in education,EMP,Employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS,LSO-TRANS regular data collection,A,Annual,2023,,27.138718,,A,Normal value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS(1.0),"Distribution of young adults' education and work status, for a given level of educational attainment, age group and gender",I,CRI,Costa Rica,_T,Total,Y18T24,From 18 to 24 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,_T,Total,_Z,Not applicable,NED,Not in education,NE,Not in employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS,LSO-TRANS regular data collection,A,Annual,2023,,27.879595,,A,Normal value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS(1.0),"Distribution of young adults' education and work status, for a given level of educational attainment, age group and gender",I,LVA,Latvia,_T,Total,Y18T24,From 18 to 24 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,_T,Total,_Z,Not applicable,NED,Not in education,EMP,Employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS,LSO-TRANS regular data collection,A,Annual,2023,,30.55711,,A,Normal value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS(1.0),"Distribution of young adults' education and work status, for a given level of educational attainment, age group and gender",I,DNK,Denmark,_T,Total,Y18T24,From 18 to 24 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,_T,Total,_Z,Not applicable,ED_WS,In education and in work-study programmes,EMP,Employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS,LSO-TRANS regular data collection,A,Annual,2023,,,,K,Data included in another category,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS(1.0),"Distribution of young adults' education and work status, for a given level of educational attainment, age group and gender",I,HRV,Croatia,_T,Total,Y18T24,From 18 to 24 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,_T,Total,_Z,Not applicable,NED,Not in education,EMP,Employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS,LSO-TRANS regular data collection,A,Annual,2023,,31.13553,,A,Normal value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS(1.0),"Distribution of young adults' education and work status, for a given level of educational attainment, age group and gender",I,CZE,Czechia,_T,Total,Y18T24,From 18 to 24 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,_T,Total,_Z,Not applicable,NED,Not in education,NE,Not in employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS,LSO-TRANS regular data collection,A,Annual,2023,,9.5533781,,A,Normal value,,,0,Units,1,One
