STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,SEX,Sex,AGE,Age,ATTAINMENT_LEV,Educational attainment level,EDUCATION_FIELD,Field of education,MEASURE,Measure,INCOME,Income,BIRTH_PLACE,Place of birth,MIGRATION_AGE,Age at migration,EDU_STATUS,Education status,LABOUR_FORCE_STATUS,Labour force status,DURATION_UNEMP,Unemployment duration,UNIT_MEASURE,Unit of measure,STATISTICAL_OPERATION,Statistical operation,WORK_TIME_ARNGMNT,Work time arrangement,QUESTIONNAIRE,Questionnaire name,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,CONF_STATUS,Confidentiality status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS_MIGR(1.0),"Share of young adults who are not employment nor in formal education or training (NEET), by country of birth and age at migration",I,MEX,Mexico,_T,Total,Y15T29,From 15 to 29 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,NB,Native-born,_Z,Not applicable,NED,Not in education,NE,Not in employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS_MIGR,LSO-TRANS cyclical data collection on country of birth and age at migration,A3,Triennial,2023,,18.49242592,,A,Normal value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS_MIGR(1.0),"Share of young adults who are not employment nor in formal education or training (NEET), by country of birth and age at migration",I,CHE,Switzerland,_T,Total,Y15T29,From 15 to 29 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,NB,Native-born,_Z,Not applicable,NED,Not in education,NE,Not in employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS_MIGR,LSO-TRANS cyclical data collection on country of birth and age at migration,A3,Triennial,2023,,6.567132473,,A,Normal value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS_MIGR(1.0),"Share of young adults who are not employment nor in formal education or training (NEET), by country of birth and age at migration",I,LVA,Latvia,_T,Total,Y15T29,From 15 to 29 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,FB,Foreign-born,_T,Total,NED,Not in education,NE,Not in employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS_MIGR,LSO-TRANS cyclical data collection on country of birth and age at migration,A3,Triennial,2023,,,,A,Normal value,C,Confidential statistical information,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS_MIGR(1.0),"Share of young adults who are not employment nor in formal education or training (NEET), by country of birth and age at migration",I,ITA,Italy,_T,Total,Y15T29,From 15 to 29 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,FB,Foreign-born,_T,Total,NED,Not in education,NE,Not in employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS_MIGR,LSO-TRANS cyclical data collection on country of birth and age at migration,A3,Triennial,2023,,28.31202698,,A,Normal value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS_MIGR(1.0),"Share of young adults who are not employment nor in formal education or training (NEET), by country of birth and age at migration",I,BGR,Bulgaria,_T,Total,Y15T29,From 15 to 29 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,FB,Foreign-born,_T,Total,NED,Not in education,NE,Not in employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS_MIGR,LSO-TRANS cyclical data collection on country of birth and age at migration,A3,Triennial,2023,,,,O,Missing value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS_MIGR(1.0),"Share of young adults who are not employment nor in formal education or training (NEET), by country of birth and age at migration",I,CZE,Czechia,_T,Total,Y15T29,From 15 to 29 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,NB,Native-born,_Z,Not applicable,NED,Not in education,NE,Not in employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS_MIGR,LSO-TRANS cyclical data collection on country of birth and age at migration,A3,Triennial,2023,,11.53723431,,A,Normal value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS_MIGR(1.0),"Share of young adults who are not employment nor in formal education or training (NEET), by country of birth and age at migration",I,SVK,Slovak Republic,_T,Total,Y15T29,From 15 to 29 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,NB,Native-born,_Z,Not applicable,NED,Not in education,NE,Not in employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS_MIGR,LSO-TRANS cyclical data collection on country of birth and age at migration,A3,Triennial,2023,,11.36730003,,A,Normal value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS_MIGR(1.0),"Share of young adults who are not employment nor in formal education or training (NEET), by country of birth and age at migration",I,GRC,Greece,_T,Total,Y15T29,From 15 to 29 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,FB,Foreign-born,_T,Total,NED,Not in education,NE,Not in employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS_MIGR,LSO-TRANS cyclical data collection on country of birth and age at migration,A3,Triennial,2023,,23.27547455,,A,Normal value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS_MIGR(1.0),"Share of young adults who are not employment nor in formal education or training (NEET), by country of birth and age at migration",I,LTU,Lithuania,_T,Total,Y15T29,From 15 to 29 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,NB,Native-born,_Z,Not applicable,NED,Not in education,NE,Not in employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS_MIGR,LSO-TRANS cyclical data collection on country of birth and age at migration,A3,Triennial,2023,,16.11613464,,A,Normal value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_TRANS_MIGR(1.0),"Share of young adults who are not employment nor in formal education or training (NEET), by country of birth and age at migration",I,GBR,United Kingdom,_T,Total,Y15T29,From 15 to 29 years,_T,Total,_T,Total,POP,Population,_Z,Not applicable,NB,Native-born,_Z,Not applicable,NED,Not in education,NE,Not in employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,TRANS_MIGR,LSO-TRANS cyclical data collection on country of birth and age at migration,A3,Triennial,2023,,12.20619869,,A,Normal value,,,0,Units,1,One
