"Labour productivity"
"Annual growth rate (%), 2022"
"Category","Labour productivity"
"Poland",4.83194368941025
"Latvia",4.75000245180157
"Portugal",4.01721864929723
"Austria",2.76449353475867
"Hungary",2.15646093519493
"Iceland",1.77967690456702
"Greece",1.48657353048398
"Spain",1.35690017992163
"United Kingdom",1.32091499764864
"Switzerland",1.27380642956902
"Japan",0.78684433852152
"Netherlands",0.735039359883394
"Italy",0.523266379267406
"New Zealand",0.273859958093881
"Korea",0.214310550599617
"Germany",0.119064558563364
"OECD",-0.206058540756882
"Belgium",-0.219680970558123
"Norway",-0.247344197485722
"Ireland",-0.352914402714222
"Canada",-0.406021560812342
"Colombia",-0.426767131056638
"Mexico",-0.640594745636469
"Israel",-0.740640624469646
"United States",-1.06786043668777
"Slovenia",-1.23078821335887
"France",-1.40583220807683
"Sweden",-1.48739552024901
"Czechia",-1.4998582296451
"Finland",-1.75706884381218
"Denmark",-2.07863958297793
"Lithuania",-2.52128459488714
"Slovak Rep.",-3.26035202383842
"Australia",-3.74433609235502
"Luxembourg",-4.00481130208662
"Estonia",-4.49490479560998
"Costa Rica",-4.61137082636579
"Chile",-6.31577559761868
