"Consumer confidence index (CCI)"
"Amplitude adjusted, Long-term average = 100"
"Category","OECD"
"2008-01-01 00:00:00",99.63567
"2008-02-01 00:00:00",99.32803
"2008-03-01 00:00:00",98.9583
"2008-04-01 00:00:00",98.50278
"2008-05-01 00:00:00",98.05489
"2008-06-01 00:00:00",97.70437
"2008-07-01 00:00:00",97.59563
"2008-08-01 00:00:00",97.67805
"2008-09-01 00:00:00",97.69041
"2008-10-01 00:00:00",97.42503
"2008-11-01 00:00:00",97.18067
"2008-12-01 00:00:00",97.04476
"2009-01-01 00:00:00",96.98195
"2009-02-01 00:00:00",96.99191
"2009-03-01 00:00:00",97.22007
"2009-04-01 00:00:00",97.67851
"2009-05-01 00:00:00",98.13516
"2009-06-01 00:00:00",98.4768
"2009-07-01 00:00:00",98.69918
"2009-08-01 00:00:00",98.90725
"2009-09-01 00:00:00",99.12774
"2009-10-01 00:00:00",99.22633
"2009-11-01 00:00:00",99.25421
"2009-12-01 00:00:00",99.31384
"2010-01-01 00:00:00",99.38166
"2010-02-01 00:00:00",99.3983
"2010-03-01 00:00:00",99.39651
"2010-04-01 00:00:00",99.37448
"2010-05-01 00:00:00",99.32353
"2010-06-01 00:00:00",99.27657
"2010-07-01 00:00:00",99.22887
"2010-08-01 00:00:00",99.24712
"2010-09-01 00:00:00",99.2732
"2010-10-01 00:00:00",99.31611
"2010-11-01 00:00:00",99.39514
"2010-12-01 00:00:00",99.42825
"2011-01-01 00:00:00",99.38783
"2011-02-01 00:00:00",99.27954
"2011-03-01 00:00:00",99.05412
"2011-04-01 00:00:00",98.92421
"2011-05-01 00:00:00",98.91626
"2011-06-01 00:00:00",98.83358
"2011-07-01 00:00:00",98.60056
"2011-08-01 00:00:00",98.3243
"2011-09-01 00:00:00",98.21495
"2011-10-01 00:00:00",98.22964
"2011-11-01 00:00:00",98.36153
"2011-12-01 00:00:00",98.54619
"2012-01-01 00:00:00",98.75149
"2012-02-01 00:00:00",98.89766
"2012-03-01 00:00:00",98.96444
"2012-04-01 00:00:00",98.96433
"2012-05-01 00:00:00",98.93069
"2012-06-01 00:00:00",98.83777
"2012-07-01 00:00:00",98.78604
"2012-08-01 00:00:00",98.78554
